Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude,Stadtteil,Begründung
,AC-0001,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.045468766666666,8.382053233333332,Neureut,AC score=100; ist_ac=3
,AC-0026,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00227255,8.357063,Grünwinkel,AC score=85; ist_ac=16
,AC-0027,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.997706019999995,8.41022636,Südstadt,AC score=85; ist_ac=18
,AC-0028,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.996623812500005,8.454130825,Durlach,AC score=85; ist_ac=59
,AC-0029,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.99754104,8.45824998,Durlach,AC score=85; ist_ac=59
,AC-0030,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.0103322,8.379000033333334,Weststadt,AC score=85; ist_ac=19
,AC-0031,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00938816666667,8.427149299999998,Oststadt,AC score=85; ist_ac=14
,AC-0032,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.991173333333336,8.375938366666666,Beiertheim-Bulach,AC score=85; ist_ac=2
,AC-0033,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.99707,8.360809225,Grünwinkel,AC score=85; ist_ac=16
,AC-0034,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.0081567888889,8.416935955555555,Oststadt,AC score=85; ist_ac=14
,AC-0035,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.9952623,8.3885068,Südweststadt,AC score=85; ist_ac=12
,AC-0036,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.02506426666667,8.448872466666666,Hagsfeld,AC score=85; ist_ac=10
,AC-0037,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00916685,8.37737065,Weststadt,AC score=85; ist_ac=19
,AC-0038,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.011520999999995,8.361198,Mühlburg,AC score=85; ist_ac=24
,AC-0039,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.99058349999999,8.374318866666666,Beiertheim-Bulach,AC score=85; ist_ac=2
,AC-0040,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.0088861,8.407842225,Innenstadt-Ost,AC score=85; ist_ac=44
,AC-0041,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.0109,8.398331025000001,Innenstadt-West,AC score=85; ist_ac=79
,AC-0042,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00926303333333,8.401486366666667,Innenstadt-West,AC score=85; ist_ac=79
,AC-0043,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00939983333333,8.3924394,Innenstadt-West,AC score=85; ist_ac=79
,AC-0044,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.9663854,8.4053813,Rüppurr,AC score=70; ist_ac=4
,AC-0045,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.037777000000006,8.453158566666668,Hagsfeld,AC score=70; ist_ac=10
,AC-0046,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.00419213333333,8.325479833333333,Daxlanden,AC score=70; ist_ac=0
,AC-0047,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.9836403,8.3576241,Oberreut,AC score=70; ist_ac=0
,AC-0048,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,48.9659303,8.4813472,Hohenwettersbach,AC score=70; ist_ac=2
,AC-0049,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.0381383,8.4374946,Waldstadt,AC score=70; ist_ac=6
,AC-0050,Geplant 2030,Normalladeeinrichtung,4,22,,,,,Karlsruhe,,,49.008082675000004,8.5082507,Grötzingen,AC score=70; ist_ac=4
,AC-0051,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9844432,8.3585277,Oberreut,AC score=70; ist_ac=0
,AC-0052,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9727144,8.4063127,Rüppurr,AC score=70; ist_ac=4
,AC-0053,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9778243,8.456944166666666,Wolfartsweier,AC score=70; ist_ac=0
,AC-0054,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.046403100000006,8.37911655,Neureut,AC score=70; ist_ac=3
,AC-0055,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.000070725,8.3329878,Daxlanden,AC score=70; ist_ac=0
,AC-0056,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.043025,8.3798778,Neureut,AC score=70; ist_ac=3
,AC-0057,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,49.045859183333334,8.379911900000002,Neureut,AC score=70; ist_ac=3
,AC-0058,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9771248,8.45317835,Wolfartsweier,AC score=70; ist_ac=0
,AC-0059,Geplant 2030,Normalladeeinrichtung,2,22,,,,,Karlsruhe,,,48.9777593,8.4547403,Wolfartsweier,AC score=70; ist_ac=0
