Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,28.11.2019,Durlacher Allee,93,76131,Karlsruhe,"Durlacher Allee 93, 76131 Karlsruhe, Deutschland","Durlacher Allee 93, 76131 Karlsruhe, Deutschland",49.005812,8.435755
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,03.12.2019,Rintheimer Querallee,2,76131,Karlsruhe,"Rintheimer Querallee 2, 76131 Karlsruhe, Deutschland","Rintheimer Querallee 2, 76131 Karlsruhe, Deutschland",49.021248,8.431227
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,01.01.2021,Emmy-Noether-Straße,11,76131,Karlsruhe,"Emmy-Noether-Straße 11, 76131 Karlsruhe, Deutschland","Emmy-Noether-Straße 11, 76131 Karlsruhe, Deutschland",49.020088,8.439821
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,02.12.2020,Englerstr.,12,76131,Karlsruhe,"Englerstr. 12, 76131 Karlsruhe, Deutschland","Englerstr. 12, 76131 Karlsruhe, Deutschland",49.01062,8.41097
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,21.12.2020,Am Sportpark,1,76131,Karlsruhe,"Am Sportpark 1, 76131 Karlsruhe, Deutschland","Am Sportpark 1, 76131 Karlsruhe, Deutschland",49.026353,8.445739
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,20.12.2020,Am Sportpark,1,76131,Karlsruhe,"Am Sportpark 1, 76131 Karlsruhe, Deutschland","Am Sportpark 1, 76131 Karlsruhe, Deutschland",49.027023,8.445317
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,28.12.2020,Emmy-Noether-Str.,11,76131,Karlsruhe,"Emmy-Noether-Str. 11, 76131 Karlsruhe, Deutschland","Emmy-Noether-Str. 11, 76131 Karlsruhe, Deutschland",49.020119,8.439883
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,10.07.2019,Durlacher Allee,93,76131,Karlsruhe,"Durlacher Allee 93, 76131 Karlsruhe, Deutschland","Durlacher Allee 93, 76131 Karlsruhe, Deutschland",49.005818,8.43571
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,21.08.2023,Fraunhoferstraße,1,76131,Karlsruhe,"Fraunhoferstraße 1, 76131 Karlsruhe, Deutschland","Fraunhoferstraße 1, 76131 Karlsruhe, Deutschland",49.014934,8.426976
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,21.08.2023,Fraunhoferstraße,1,76131,Karlsruhe,"Fraunhoferstraße 1, 76131 Karlsruhe, Deutschland","Fraunhoferstraße 1, 76131 Karlsruhe, Deutschland",49.014934,8.426976
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,21.08.2023,Rintheimer Querallee,2b,76131,Karlsruhe,"Rintheimer Querallee 2b, 76131 Karlsruhe, Deutschland","Rintheimer Querallee 2b, 76131 Karlsruhe, Deutschland",49.022177,8.434037
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,21.08.2023,Straße am Forum,5,76131,Karlsruhe,"Straße am Forum 5, 76131 Karlsruhe, Deutschland","Straße am Forum 5, 76131 Karlsruhe, Deutschland",49.012071,8.417861
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,21.08.2023,Straße am Forum,5,76131,Karlsruhe,"Straße am Forum 5, 76131 Karlsruhe, Deutschland","Straße am Forum 5, 76131 Karlsruhe, Deutschland",49.012071,8.417861
ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG,ALDI SÜD,In Betrieb,Schnellladeeinrichtung,3,60.0,20.05.2021,Theodor-Rehbock-Straße,17,76131,Karlsruhe,"Theodor-Rehbock-Straße 17, 76131 Karlsruhe, Deutschland","Theodor-Rehbock-Straße 17, 76131 Karlsruhe, Deutschland",49.009028,8.439528
Fraunhofer-Gesellschaft e. V.,,In Betrieb,Normalladeeinrichtung,1,22.0,15.05.2024,Rintheimer Querallee,2b,76131,Karlsruhe,"Rintheimer Querallee 2b, 76131 Karlsruhe, Deutschland","Rintheimer Querallee 2b, 76131 Karlsruhe, Deutschland",49.022177,8.434037
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,4,22.0,11.10.2022,Schloßplatz,0,76131,Karlsruhe,"Schloßplatz 0, 76131 Karlsruhe, Deutschland","Schloßplatz 0, 76131 Karlsruhe, Deutschland",49.010945,8.402951
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,4,22.0,11.10.2022,Schloßplatz,0,76131,Karlsruhe,"Schloßplatz 0, 76131 Karlsruhe, Deutschland","Schloßplatz 0, 76131 Karlsruhe, Deutschland",49.010945,8.402951
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,11.10.2022,Schloßplatz,0,76131,Karlsruhe,"Schloßplatz 0, 76131 Karlsruhe, Deutschland","Schloßplatz 0, 76131 Karlsruhe, Deutschland",49.010945,8.402951
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,4,22.0,11.10.2022,Waldhornstraße,0,76131,Karlsruhe,"Waldhornstraße 0, 76131 Karlsruhe, Deutschland","Waldhornstraße 0, 76131 Karlsruhe, Deutschland",49.011406,8.408131
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,4,22.0,11.10.2022,Waldhornstraße,0,76131,Karlsruhe,"Waldhornstraße 0, 76131 Karlsruhe, Deutschland","Waldhornstraße 0, 76131 Karlsruhe, Deutschland",49.011406,8.408131
Pfalzwerke AG,Pfalzwerke AG,In Betrieb,Schnellladeeinrichtung,2,72.0,14.07.2021,Theodor-Rehbock-Straße,11,76131,Karlsruhe,"Theodor-Rehbock-Straße 11, 76131 Karlsruhe, Deutschland","Theodor-Rehbock-Straße 11, 76131 Karlsruhe, Deutschland",49.009349,8.437793
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,29.11.2022,Schlossplatz,16,76131,Karlsruhe,"Schlossplatz 16, 76131 Karlsruhe, Deutschland","Schlossplatz 16, 76131 Karlsruhe, Deutschland",49.01088,8.405303
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,29.11.2022,Schlossplatz,16,76131,Karlsruhe,"Schlossplatz 16, 76131 Karlsruhe, Deutschland","Schlossplatz 16, 76131 Karlsruhe, Deutschland",49.01088,8.405303
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,29.11.2022,Schlossplatz,16,76131,Karlsruhe,"Schlossplatz 16, 76131 Karlsruhe, Deutschland","Schlossplatz 16, 76131 Karlsruhe, Deutschland",49.01088,8.405303
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,29.11.2022,Schlossplatz,16,76131,Karlsruhe,"Schlossplatz 16, 76131 Karlsruhe, Deutschland","Schlossplatz 16, 76131 Karlsruhe, Deutschland",49.01088,8.405303
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,29.11.2022,Schlossplatz,16,76131,Karlsruhe,"Schlossplatz 16, 76131 Karlsruhe, Deutschland","Schlossplatz 16, 76131 Karlsruhe, Deutschland",49.01088,8.405303
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,29.11.2022,Schlossplatz,16,76131,Karlsruhe,"Schlossplatz 16, 76131 Karlsruhe, Deutschland","Schlossplatz 16, 76131 Karlsruhe, Deutschland",49.01088,8.405303
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,29.11.2022,Schlossplatz,16,76131,Karlsruhe,"Schlossplatz 16, 76131 Karlsruhe, Deutschland","Schlossplatz 16, 76131 Karlsruhe, Deutschland",49.01088,8.405303
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,29.11.2022,Schlossplatz,16,76131,Karlsruhe,"Schlossplatz 16, 76131 Karlsruhe, Deutschland","Schlossplatz 16, 76131 Karlsruhe, Deutschland",49.01088,8.405303
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,29.11.2022,Schlossplatz,16,76131,Karlsruhe,"Schlossplatz 16, 76131 Karlsruhe, Deutschland","Schlossplatz 16, 76131 Karlsruhe, Deutschland",49.01088,8.405303
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,11.07.2024,Fritz-Haber-Weg,0,76131,Karlsruhe,"Fritz-Haber-Weg 0, 76131 Karlsruhe, Deutschland","Fritz-Haber-Weg 0, 76131 Karlsruhe, Deutschland",49.011981,8.413213
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,11.03.2024,Gotthard-Franz-Str.,9,76131,Karlsruhe,"Gotthard-Franz-Str. 9, 76131 Karlsruhe, Deutschland","Gotthard-Franz-Str. 9, 76131 Karlsruhe, Deutschland",49.014361,8.420825
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,11.03.2024,Gotthard-Franz-Str.,9,76131,Karlsruhe,"Gotthard-Franz-Str. 9, 76131 Karlsruhe, Deutschland","Gotthard-Franz-Str. 9, 76131 Karlsruhe, Deutschland",49.014361,8.420825
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,11.07.2024,Rudolf-Plank-Str.,0,76131,Karlsruhe,"Rudolf-Plank-Str. 0, 76131 Karlsruhe, Deutschland","Rudolf-Plank-Str. 0, 76131 Karlsruhe, Deutschland",49.010771,8.414903
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,11.07.2024,Rudolf-Plank-Str.,0,76131,Karlsruhe,"Rudolf-Plank-Str. 0, 76131 Karlsruhe, Deutschland","Rudolf-Plank-Str. 0, 76131 Karlsruhe, Deutschland",49.010771,8.414903
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,11.07.2024,Neuer Zirkel,0,76131,Karlsruhe,"Neuer Zirkel 0, 76131 Karlsruhe, Deutschland","Neuer Zirkel 0, 76131 Karlsruhe, Deutschland",49.011036,8.407017
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,11.07.2024,Zirkel,0,76131,Karlsruhe,"Zirkel 0, 76131 Karlsruhe, Deutschland","Zirkel 0, 76131 Karlsruhe, Deutschland",49.011036,8.407017
Auto Weiler Gbr,,In Betrieb,Normalladeeinrichtung,1,22.0,17.01.2024,Alter Schlachthof,30,76131,Karlsruhe,"Alter Schlachthof 30, 76131 Karlsruhe, Deutschland","Alter Schlachthof 30, 76131 Karlsruhe, Deutschland",49.004213,8.433014
Auto Weiler Gbr,,In Betrieb,Normalladeeinrichtung,1,22.0,17.01.2024,Alter Schlachthof,30,76131,Karlsruhe,"Alter Schlachthof 30, 76131 Karlsruhe, Deutschland","Alter Schlachthof 30, 76131 Karlsruhe, Deutschland",49.004213,8.433014
Auto Weiler Gbr,,In Betrieb,Normalladeeinrichtung,1,22.0,17.01.2024,Alter Schlachthof,30,76131,Karlsruhe,"Alter Schlachthof 30, 76131 Karlsruhe, Deutschland","Alter Schlachthof 30, 76131 Karlsruhe, Deutschland",49.004213,8.433014
BES- Badische Energie-Servicegesellschaft mbH,BES,In Betrieb,Normalladeeinrichtung,1,11.0,22.09.2017,Haid-und-Neu-Str.,18,76131,Karlsruhe,"Haid-und-Neu-Str. 18, 76131 Karlsruhe, Deutschland","Haid-und-Neu-Str. 18, 76131 Karlsruhe, Deutschland",49.012695,8.427402
Autohaus Werner Beier GmbH,,In Betrieb,Normalladeeinrichtung,4,11.0,14.12.2023,Heinrich-Wittmann-Str.,21,76131,Karlsruhe,"Heinrich-Wittmann-Str. 21, 76131 Karlsruhe, Deutschland","Heinrich-Wittmann-Str. 21, 76131 Karlsruhe, Deutschland",49.009602,8.443479
Lidl Dienstleistung GmbH & Co. KG,Lidl,In Betrieb,Schnellladeeinrichtung,3,71.0,15.11.2024,Theodor-Rehbock-Str.,4,76131,Karlsruhe,"Theodor-Rehbock-Str. 4, 76131 Karlsruhe, Deutschland","Theodor-Rehbock-Str. 4, 76131 Karlsruhe, Deutschland",49.008804,8.437822
Audi Zentrum Karlsruhe GmbH,,In Betrieb,Schnellladeeinrichtung,1,24.0,08.08.2019,Gerwigstraße,83,76131,Karlsruhe,"Gerwigstraße 83, 76131 Karlsruhe, Deutschland","Gerwigstraße 83, 76131 Karlsruhe, Deutschland",49.006383,8.443331
Ladegrün! eG,,In Betrieb,Schnellladeeinrichtung,2,150.0,28.01.2025,Käppelestr.,5,76131,Karlsruhe,"Käppelestr. 5, 76131 Karlsruhe, Deutschland","Käppelestr. 5, 76131 Karlsruhe, Deutschland",49.008064,8.439024
Team-Emobility GmbH,Team-Emobility GmbH,In Betrieb,Normalladeeinrichtung,1,11.0,15.08.2024,Im Vogelsand,6,76131,Karlsruhe,"Im Vogelsand 6, 76131 Karlsruhe, Deutschland","Im Vogelsand 6, 76131 Karlsruhe, Deutschland",49.0227,8.441
Team-Emobility GmbH,Team-Emobility GmbH,In Betrieb,Normalladeeinrichtung,1,11.0,15.08.2024,Im Vogelsand,6,76131,Karlsruhe,"Im Vogelsand 6, 76131 Karlsruhe, Deutschland","Im Vogelsand 6, 76131 Karlsruhe, Deutschland",49.0227,8.441
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,04.11.2020,Stephanienstr.,88,76133,Karlsruhe,"Stephanienstr. 88, 76133 Karlsruhe, Deutschland","Stephanienstr. 88, 76133 Karlsruhe, Deutschland",49.01072,8.3898
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,11.11.2020,Hans-Thoma-Str.,5,76133,Karlsruhe,"Hans-Thoma-Str. 5, 76133 Karlsruhe, Deutschland","Hans-Thoma-Str. 5, 76133 Karlsruhe, Deutschland",49.011866,8.399363
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,09.12.2021,Moltkestraße,4,76133,Karlsruhe,"Moltkestraße 4, 76133 Karlsruhe, Deutschland","Moltkestraße 4, 76133 Karlsruhe, Deutschland",49.01447,8.39745
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,22.0,09.07.2021,Kreuzstraße,13,76133,Karlsruhe,"Kreuzstraße 13, 76133 Karlsruhe, Deutschland","Kreuzstraße 13, 76133 Karlsruhe, Deutschland",49.00675,8.393843
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,31.05.2023,Amalienstraße,33,76133,Karlsruhe,"Amalienstraße 33, 76133 Karlsruhe, Deutschland","Amalienstraße 33, 76133 Karlsruhe, Deutschland",49.00834,8.392918
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,31.05.2023,Amalienstraße,33,76133,Karlsruhe,"Amalienstraße 33, 76133 Karlsruhe, Deutschland","Amalienstraße 33, 76133 Karlsruhe, Deutschland",49.00834,8.392918
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,31.05.2023,Amalienstraße,33,76133,Karlsruhe,"Amalienstraße 33, 76133 Karlsruhe, Deutschland","Amalienstraße 33, 76133 Karlsruhe, Deutschland",49.00834,8.392918
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,31.05.2023,Amalienstraße,33,76133,Karlsruhe,"Amalienstraße 33, 76133 Karlsruhe, Deutschland","Amalienstraße 33, 76133 Karlsruhe, Deutschland",49.00834,8.392918
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,31.05.2023,Amalienstraße,33,76133,Karlsruhe,"Amalienstraße 33, 76133 Karlsruhe, Deutschland","Amalienstraße 33, 76133 Karlsruhe, Deutschland",49.00834,8.392918
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,01.06.2023,Kreuzstraße,13 A,76133,Karlsruhe,"Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland","Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland",49.008275,8.406012
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,01.06.2023,Kreuzstraße,13 A,76133,Karlsruhe,"Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland","Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland",49.008275,8.406012
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,01.06.2023,Kreuzstraße,13 A,76133,Karlsruhe,"Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland","Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland",49.008275,8.406012
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,01.06.2023,Kreuzstraße,13 A,76133,Karlsruhe,"Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland","Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland",49.008275,8.406012
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,01.06.2023,Kreuzstraße,13 A,76133,Karlsruhe,"Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland","Kreuzstraße 13 A, 76133 Karlsruhe, Deutschland",49.008275,8.406012
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,3,11.0,09.11.2023,Friedrichsplatz,1,76133,Karlsruhe,"Friedrichsplatz 1, 76133 Karlsruhe, Deutschland","Friedrichsplatz 1, 76133 Karlsruhe, Deutschland",49.008411,8.400319
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,09.11.2023,Friedrichsplatz,1,76133,Karlsruhe,"Friedrichsplatz 1, 76133 Karlsruhe, Deutschland","Friedrichsplatz 1, 76133 Karlsruhe, Deutschland",49.008411,8.400319
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,09.11.2023,Friedrichsplatz,1,76133,Karlsruhe,"Friedrichsplatz 1, 76133 Karlsruhe, Deutschland","Friedrichsplatz 1, 76133 Karlsruhe, Deutschland",49.008411,8.400319
Claus Heinemann Elektroanlagen GmbH,ChargeOne,In Betrieb,Normalladeeinrichtung,4,11.0,09.11.2023,Friedrichsplatz,1,76133,Karlsruhe,"Friedrichsplatz 1, 76133 Karlsruhe, Deutschland","Friedrichsplatz 1, 76133 Karlsruhe, Deutschland",49.008411,8.400319
Hotel Rio BGmbH,Hotel Rio Karlsruhe,In Betrieb,Normalladeeinrichtung,2,11.0,01.09.2022,Hans-Sachs-Str,2,76133,Karlsruhe,"Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland","Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland",49.009551,8.38619
Hotel Rio BGmbH,Hotel Rio Karlsruhe,In Betrieb,Normalladeeinrichtung,2,11.0,01.09.2022,Hans-Sachs-Str,2,76133,Karlsruhe,"Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland","Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland",49.009551,8.38619
Hotel Rio BGmbH,Hotel Rio Karlsruhe,In Betrieb,Normalladeeinrichtung,2,11.0,01.09.2022,Hans-Sachs-Str,2,76133,Karlsruhe,"Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland","Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland",49.009551,8.38619
Hotel Rio BGmbH,Hotel Rio Karlsruhe,In Betrieb,Normalladeeinrichtung,2,22.0,01.02.2023,Hans-Sachs-Str,2,76133,Karlsruhe,"Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland","Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland",49.009551,8.38619
Hotel Rio BGmbH,Hotel Rio Karlsruhe,In Betrieb,Normalladeeinrichtung,2,22.0,01.02.2023,Hans-Sachs-Str,2,76133,Karlsruhe,"Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland","Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland",49.009551,8.38619
Hotel Rio BGmbH,Hotel Rio Karlsruhe,In Betrieb,Normalladeeinrichtung,2,22.0,01.02.2023,Hans-Sachs-Str,2,76133,Karlsruhe,"Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland","Hans-Sachs-Str 2, 76133 Karlsruhe, Deutschland",49.009551,8.38619
LAN1 Hotspots GmbH,LAN1 Hotspots GmbH,In Betrieb,Normalladeeinrichtung,4,44.0,29.03.2023,Bismarckstraße,37-43,76133,Karlsruhe,"Bismarckstraße 37-43, 76133 Karlsruhe, Deutschland","Bismarckstraße 37-43, 76133 Karlsruhe, Deutschland",49.01291,8.39346
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,05.05.2020,Hoffstr.,10,76133,Karlsruhe,"Hoffstr. 10, 76133 Karlsruhe, Deutschland","Hoffstr. 10, 76133 Karlsruhe, Deutschland",49.013061,8.384854
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,13.10.2021,Moltkestr.,80,76133,Karlsruhe,"Moltkestr. 80, 76133 Karlsruhe, Deutschland","Moltkestr. 80, 76133 Karlsruhe, Deutschland",49.016434,8.378305
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,11.07.2024,Reinhold-Frank-Str.,67,76133,Karlsruhe,"Reinhold-Frank-Str. 67, 76133 Karlsruhe, Deutschland","Reinhold-Frank-Str. 67, 76133 Karlsruhe, Deutschland",49.013033,8.387146
Städtisches Klinikum Karlsruhe gGmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,15.12.2021,Knielinger Allee,0,76133,Karlsruhe,"Knielinger Allee 0, 76133 Karlsruhe, Deutschland","Knielinger Allee 0, 76133 Karlsruhe, Deutschland",49.019013,8.374063
Städtisches Klinikum Karlsruhe gGmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,15.12.2021,Knielinger Allee,0,76133,Karlsruhe,"Knielinger Allee 0, 76133 Karlsruhe, Deutschland","Knielinger Allee 0, 76133 Karlsruhe, Deutschland",49.019013,8.374063
Städtisches Klinikum Karlsruhe gGmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,15.12.2021,Knielinger Allee,0,76133,Karlsruhe,"Knielinger Allee 0, 76133 Karlsruhe, Deutschland","Knielinger Allee 0, 76133 Karlsruhe, Deutschland",49.019013,8.374063
Städtisches Klinikum Karlsruhe gGmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,15.12.2021,Knielinger Allee,0,76133,Karlsruhe,"Knielinger Allee 0, 76133 Karlsruhe, Deutschland","Knielinger Allee 0, 76133 Karlsruhe, Deutschland",49.019013,8.374063
Städtisches Klinikum Karlsruhe gGmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,15.12.2021,Knielinger Allee,0,76133,Karlsruhe,"Knielinger Allee 0, 76133 Karlsruhe, Deutschland","Knielinger Allee 0, 76133 Karlsruhe, Deutschland",49.019013,8.374063
Karlsruher Fächer GmbH,Karlsruher Fächer,In Betrieb,Normalladeeinrichtung,1,11.0,26.01.2023,Fritz-Erler-Straße,07. Nov,76133,Karlsruhe,"Fritz-Erler-Straße 07. Nov, 76133 Karlsruhe, Deutschland","Fritz-Erler-Straße 07. Nov, 76133 Karlsruhe, Deutschland",49.00854,8.410457
Karlsruher Fächer GmbH,Karlsruher Fächer,In Betrieb,Normalladeeinrichtung,1,11.0,26.01.2023,Fritz-Erler-Straße,07. Nov,76133,Karlsruhe,"Fritz-Erler-Straße 07. Nov, 76133 Karlsruhe, Deutschland","Fritz-Erler-Straße 07. Nov, 76133 Karlsruhe, Deutschland",49.00853,8.410457
E.ON Drive GmbH,E.ON Drive GmbH,In Betrieb,Normalladeeinrichtung,1,11.0,10.12.2020,Kaiserallee,11,76133,Karlsruhe,"Kaiserallee 11, 76133 Karlsruhe, Deutschland","Kaiserallee 11, 76133 Karlsruhe, Deutschland",49.010444,8.384975
E.ON Drive GmbH,E.ON Drive GmbH,In Betrieb,Normalladeeinrichtung,1,11.0,09.12.2020,Amalienstraße,0,76133,Karlsruhe,"Amalienstraße 0, 76133 Karlsruhe, Deutschland","Amalienstraße 0, 76133 Karlsruhe, Deutschland",49.008328,8.393834
E.ON Drive GmbH,E.ON Drive GmbH,In Betrieb,Normalladeeinrichtung,1,11.0,09.12.2020,Amalienstraße,0,76133,Karlsruhe,"Amalienstraße 0, 76133 Karlsruhe, Deutschland","Amalienstraße 0, 76133 Karlsruhe, Deutschland",49.008328,8.393834
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,05.12.2024,Erzbergerstr.,117,76133,Karlsruhe,"Erzbergerstr. 117, 76133 Karlsruhe, Deutschland","Erzbergerstr. 117, 76133 Karlsruhe, Deutschland",49.025464,8.385467
Parkraumgesellschaft Baden-Württemberg GmbH,,In Betrieb,Normalladeeinrichtung,2,22.0,26.06.2024,Moltkestr.,30,76133,Karlsruhe,"Moltkestr. 30, 76133 Karlsruhe, Deutschland","Moltkestr. 30, 76133 Karlsruhe, Deutschland",49.015272,8.392258
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,02.11.2020,Hermann-Veit-Str.,6,76135,Karlsruhe,"Hermann-Veit-Str. 6, 76135 Karlsruhe, Deutschland","Hermann-Veit-Str. 6, 76135 Karlsruhe, Deutschland",48.99707,8.3783
EnBW mobility+ AG und Co.KG,,In Betrieb,Normalladeeinrichtung,2,30.0,10.03.2022,Lorenzstraße,21,76135,Karlsruhe,"Lorenzstraße 21, 76135 Karlsruhe, Deutschland","Lorenzstraße 21, 76135 Karlsruhe, Deutschland",49.00106,8.38377
ALDI SÜD Immobilienverwaltungs-GmbH & Co. oHG,ALDI SÜD,In Betrieb,Schnellladeeinrichtung,3,100.0,27.01.2022,Hohenzollernstraße,69,76135,Karlsruhe,"Hohenzollernstraße 69, 76135 Karlsruhe, Deutschland","Hohenzollernstraße 69, 76135 Karlsruhe, Deutschland",48.993889,8.385222
Allego GmbH,Allego,In Betrieb,Schnellladeeinrichtung,2,150.0,31.01.2024,Windeckstr.,9,76135,Karlsruhe,"Windeckstr. 9, 76135 Karlsruhe, Deutschland","Windeckstr. 9, 76135 Karlsruhe, Deutschland",48.989953,8.371551
MINT GmbH,,In Betrieb,Normalladeeinrichtung,2,11.0,06.07.2022,Gebrüder-Bachert-Straße,7,76135,Karlsruhe,"Gebrüder-Bachert-Straße 7, 76135 Karlsruhe, Deutschland","Gebrüder-Bachert-Straße 7, 76135 Karlsruhe, Deutschland",48.982097,8.376724
