Betreiber,Anzeigename,Status,Art der Ladeeinrichtung,Anzahl Ladepunkte,Nennleistung [kW],Inbetriebnahmedatum,Straße,Hausnummer,PLZ,Ort,Volladresse,location,Latitude,Longitude
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,150.0,23.12.2024,Eichelbergstr.,34,76189,Karlsruhe,"Eichelbergstr. 34, 76189 Karlsruhe, Deutschland","Eichelbergstr. 34, 76189 Karlsruhe, Deutschland",48.9984,8.34898
EnBW mobility+ AG und Co.KG,,In Betrieb,Schnellladeeinrichtung,2,160.0,21.02.2021,Nürnberger Straße,11,76199,Karlsruhe,"Nürnberger Straße 11, 76199 Karlsruhe, Deutschland","Nürnberger Straße 11, 76199 Karlsruhe, Deutschland",48.984704,8.40134
GenoHotel Karlsruhe GmbH & Co. KG,,In Betrieb,Normalladeeinrichtung,2,44.0,07.03.2024,Am Rüppurrer Schloss,40,76199,Karlsruhe,"Am Rüppurrer Schloss 40, 76199 Karlsruhe, Deutschland","Am Rüppurrer Schloss 40, 76199 Karlsruhe, Deutschland",48.98154,8.41387
GenoHotel Karlsruhe GmbH & Co. KG,,In Betrieb,Normalladeeinrichtung,2,44.0,07.03.2024,Am Rüppurrer Schloss,40,76199,Karlsruhe,"Am Rüppurrer Schloss 40, 76199 Karlsruhe, Deutschland","Am Rüppurrer Schloss 40, 76199 Karlsruhe, Deutschland",48.98154,8.41387
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,08.12.2020,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017147,8.476866
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,08.12.2020,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017145,8.476866
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,08.12.2020,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017147,8.476868
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,08.12.2020,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017146,8.476865
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,08.12.2020,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017147,8.476869
Robert Bosch GmbH,,In Betrieb,Normalladeeinrichtung,2,44.0,08.12.2020,Auf der Breit,4,76227,Karlsruhe,"Auf der Breit 4, 76227 Karlsruhe, Deutschland","Auf der Breit 4, 76227 Karlsruhe, Deutschland",49.017147,8.47687
